experiment_number;a;b;mod;memory_before_bytes;memory_after_bytes;memory_diff_bytes
27;"547662130114836905462068829970729301464075368682501515665307266174226931741263201803263541";"53972211827469043535429832322659592068973944153075075451177299910337783813955437758577773";"536640655959768492857266500492503302791418083988668772663475825685963345846590587389711573";4624384;4624384;0
28;"608323744221950999249214270813059838277424706968709426659893442908743408279398401269026361";"516885030363272323240139863867516221795836240224059539481334662170941284199489241356633652";"524279676876947846528683278618154634467762853013394822843202537266212421369333358152136242";4624384;4624384;0
29;"894265224742654044527923175195729493145779596676633129722225761645612508638622916205031165";"852281865566181935091197539788670453311940196807741242790105656794622565970085524979992637";"431841644505482170973162266221813063493745354023845605271942308020611777410504778061477326";4624384;4624384;0
30;"451484649036066146704158319079100014783414611517241390265533691526124650685774748249734395";"130494599724179452501939516769459230152320711471088379499112043568799483502467957505901197";"669161370404723219461571469357158403313279391657695370173402642310400229765500193336955577";4624384;4624384;0
31;"540758480557414743326418505184019377429924017241961859197985210587629528203812819075510584";"655183978187125128430055594889028859797709385357691021341302211690798325172662490462795670";"252468553403934284933314913885462856624013588801572421367107723440632831258472663424405330";4624384;4624384;0
32;"356719244635290669769626064362615400778358525605936607859997062643173275116254773580174485";"805648998156638197488533019100743258545464910093907140290813376892542356624350454312712826";"297798114729817421769962988202555443560952503637370107281664624845507378720864727290040324";4624384;4624384;0
33;"539617304508235124205460837595079934961397404901080872190569335539283629196119261133696726";"561884205754683804409001690184995527799407694020300065589352315999934973444830338708275020";"227138537318686732138537819536864472955582102886850680799604669653439804814412114847693968";4624384;4624384;0
34;"860965353550625923983743054442754754383781220745154290700823356717449048707746582386900586";"742347022063282299775499120139333302446222807463247695109589389139189342617968480471791734";"476453989221755764629728772350912433792094998516688909356040334709701699649149812542028980";4636672;4636672;0
35;"632609345057961199802866114566768515664136464842154829483017818853876859363816688011538824";"913625402938147278747281051058939779980004240848132530068128710417465828769671975649786608";"21568605414876729050500922393909380101649454631758402723654065694491942386360492129010366";4636672;4636672;0
36;"558819506917794170399535822306087161698760315304072109365325687133580349008464461302741569";"884751919030036712151911259450599090865368721709163878080494227537151008218231279823057904";"428446116597914895904488260931383421045906673727730629173589792737769886226671230787686131";4636672;4636672;0
37;"871109681874939239888503201709992951340397728851183180230038210197350368974685706402270010";"679699086022308011152398785214269232365042105644744525090530403577314004732113083405598297";"866435537112911209102209268728613659244144378398295737558959651806114470932164513669591447";4636672;4636672;0
38;"662875723446140690578632837870671808517672752157479561165332464763073202747132385068101540";"555138570009185668199489342715202817384451935587742983100965916326823207893069599492936725";"736662750502979156235340260301251041638225375019140477888191890160084998132604902991716439";4636672;4636672;0
39;"186918490242049723991193034478698421843890263855182487773686422580175282380636645234685177";"828443447975803225276914695819077642490650211934183355818071769526832342268125692073292880";"314066645561134536411060814114859617109241674756710309716029406067199276629902161831013988";4636672;4636672;0
40;"760832420722329504071090882161840595004290906922891011713080096228472852665026117539599898";"511837872344123674486106259596921448249486560663491182381423623471074730184810902294089533";"772708226853518177105377710549034398526579266146713680992059448504862400081893119171710105";4636672;4636672;0
41;"897557322998140650185595299215808138211081762480834327325869179675997501878485767966028945";"721754380210872391344319425062132500500297943844598280226246246646225158994399376733995548";"1451399507939556957097332561390313890705794802558127528611202510539082717482009918388849";4636672;4636672;0
42;"845593067554808362229284635978776090832358277533842316023755418145545191947298876633208050";"129464077708900965612593931313641251454465799403862545548856946255194450600290432838569211";"825754448906971620812636003670980955927484083023475393165300496327112307386437662198705830";4636672;4636672;0
43;"602286691728608663183106291135845337873987660133489410572544801750486983177600353451892771";"390290351084702938738920426902160039762844594575226005440052707807338775070432436365287572";"633561095817905068889553918252554791955003979638686354920030808757790872138952713940130914";4636672;4636672;0
44;"211920326745644668992247046549787468640447853227854438414881327254408035799393886016861353";"370336519815898962541452979244636797777766277428134224045469137342941846160552844067993167";"412640141565898081302549810894107691883515042044663647253817270155168688243094161444335558";4636672;4636672;0
45;"121998476657370316636045514000388077791300147349059894824600611606619424146727393637147693";"46033262796151612090842622772301974657200624792852684031530158975407040546011200732536773";"493829819862665777211601277481038062688820522118534734255176484170819739090574501781481902";4636672;4636672;0
46;"262844520692093451066854650767778112973451954356032504392007210217434885405054675976371943";"470365917619115432603177528330675984850927275746940021521918710265406934690516734894891631";"804135831410987986879979991688604973941634620895929957509719703040642246596961547990837124";4636672;4636672;0
47;"570393584501555788482649051340192064101480626526161063981362246515577670977694434896631235";"194496719969023459427411088735744300206961924937281587648559081978831935286959918967570076";"283572733345218604105391718120711958246490169698929667210099202752939325663902728948838203";4636672;4636672;0
48;"786644177015134129125628806650957682702148716318513868763379701692279625405122166261014029";"220082468410705743525422134608006629768561165258491504039335098483186887814170086131094326";"168714718594063220819393946457581496881685958150884127546313609395167314154092312228493078";4636672;4636672;0
49;"916568502635860045618892725999725514443253975917663231091181730320920383922136699763220646";"204196899388472543119282479744658288103297639918897155812055002730834413268141874142974548";"394120090685561113518543303234357600872684302093658772085041285563049440755793550171024451";4636672;4636672;0
50;"507910796122927016982999296628931604332486416004459079236245349341057093344629333667188554";"931880115738560205019399731766910139396408244696593527999783676779023168825444751665511859";"512570644635988200230928806776168991448543961206605800731461488621459822349833844040582342";4636672;4636672;0
51;"409970913771539158376424991700256828676017447191835407919796416175248593472972861386395306";"830570788143846140711280670586667240241971896812889250330426362957558964046355244535929377";"478289469079048834369238817762477517721044162893259273975313701760639290789820865146942966";4636672;4636672;0
52;"288095188269693251764580369289232059159402794152785250222991658556076447820077534664371327";"911194970332341151908359617924334557429555755545165453943201496254265043224073042796473111";"747914599994607616315534972722999258584042831563753602987610837643586743179190089534810432";4636672;4636672;0
53;"613401321507397686199443971250188086869750271480959090625653587831961208252601930764486572";"922473914006173058338902274348736220611313667649611574284768059826702405181032045132029190";"640173548143434559599174557819496836520131211852170978956069607229423136940931423987773569";4636672;4636672;0
54;"203244183401151402410619343048135924593379795295707271330842186909984730605488316017217448";"38839630054618630330713949443597528791018893721522953499026506119317310958990869138486888";"922760693798701868393782751509873213769278886675020110220575971693163771661224170658999462";4636672;4636672;0
55;"515774498771621694792053829088909262030508020618188554735993899259955199477070667570979540";"764187643222201601260240191634118093132644597365652219104852860092356565731825727831541773";"770142306699446085422802002611707684627884348831934754722643450851053629650444099739601878";4636672;4636672;0
56;"165297718896290196210301851965336072290696901325549734496338503264915838568029394080235997";"196419177270024624365303562045776652470653413753819664327002996405945651131949959987695049";"836239480439355860912920321692836878083693939780228054974622642323633708754419833096680937";4636672;4636672;0
57;"215856276224364928305202093696704226472366725121231037104454294998982585936462545074934272";"717813338468684833865497701474607398505819320623254007932238391626418441435644688507685774";"986245653520009245869834174527046514215564699805633841054857344057355130322069458163394379";4636672;4636672;0
58;"992728180093440466196244085347124484212971005961712105310755342213563934010646927156337240";"422311729336884978326331122216806076186839135228553286879527420181164357478163822206793446";"890009091694144814571603391459572537023916473913583871457394592231374943170534464274470497";4636672;4636672;0
59;"119529835575281617933498657449851769281584335813809801924754112837387728290946606267458419";"81792746543958010130327240379661306450382850124400365817679358238164327248188392173250811";"884980001483690168105425563536193499048585068922598621785757602267917883285273447361849616";4636672;4636672;0
60;"13389957503557314070162494670767348368088153163113981102931274596371062465289941778632888";"933579638731686691989453718063404791180796557962721770897191498375867540509175467024081339";"972529091215935835566713057115035486947109570143769523368677029383945200012899503726449159";4636672;4636672;0
61;"987146313627644683311902886664433174669592603448194278458362653468947895860351909107554148";"308967659322720952087224774635958032773620299084916831564783297886008272925797682627670714";"733184005528889680242318557621396012349769181798622746262092751940175856507528601433876364";4636672;4636672;0
62;"159856218122562122260966837198598202081207187988746171133138617493084957194688627756449117";"697986153559126563909533844547219952857375101901322264002093041901253803914664140918259949";"235896658150178733755186733280274559314755694093256046695797934730426450346062386431780665";4636672;4636672;0
63;"928018329089294671444876969679090389438762964209806619251026205252743675775282600278363945";"865939805579234449167061677370111811403850479845296960601226084800537988379104448436088194";"38895829098464864982536626225751952862661858928870192814849590568356994710525172313518264";4636672;4636672;0
64;"944827627360551391657882205878513298520245846085310622034113542532694311732502922544505254";"625662905394065884663418705721367739460808058459558019143134956618183553241895242725469420";"905926352839308381385172477666176475068886122980652456134712341238411106427807197142216799";4636672;4636672;0
65;"136225886986692314784780570086521209973090900056948197037685655187720375664442178079173350";"116827499960175978509383332785165725307005409821895489642307167482537549464257539880250506";"951431472955389783716030074190018858505806259135436932077697395550209303907677054100579911";4636672;4636672;0
66;"980342420303107757663017365390299656273200415515321799948536374160495631779956230531800088";"657412616963411736749850968979266193273477592515510963117780948520011325951413477600914615";"151908132193158867397273422586977847475929956731305475431654720752074085810913795921583820";4636672;4636672;0
67;"5746852753157757287900721539982285082028264436715740571024074325184041911509965380618410";"361016194051709783907536665799136397653538538323353211559903918537358871783792914850426686";"269528292708807434204662815123406653569863723138785226982333135397170968532116467269180707";4636672;4636672;0
68;"51759851619534072349880039326105573836435821193544685360699768004804244520467027045406624";"980529758031493420232099427916592142024102733708332188836443519790613078726014222155372337";"286360691771301437883666747206362382302752076855856918717263151484077081334460772283133423";4636672;4636672;0
69;"582136173871632969263882196949885857809662673298791903412867233074642848339014964246222242";"173937466443882667764740828542632326672940369453040661486246059009007894987542169493286580";"461627399023088257445309919939012793953316578695513994877457508580204385344234771847686348";4636672;4636672;0
70;"227030049182625818535970110085336270895050404295061713354606951805687762399154955455875779";"266573005515417268573658688670573794431749925931260872024476180384862026183111716830193227";"545858614087211540710484257687450838978198726169614090583582355814686504811481877572675347";4636672;4636672;0
71;"514232559804386043724265640814063944214953685335682401074616693353085448905918596264977552";"244690085229596144565448338434862482438279931120038670638094249637703577536913580659314207";"642155607499178827863071624774828215672025893042578370597787336742916249213343707939096070";4636672;4636672;0
72;"197112128645164766011105706353594958186823775827078018850199066854392851681819918362046068";"708736006817413679764139901759764422764558316132747510704031308263206158367005985148698811";"985198313391635364031680237081579262045750910833410132339084547873696147151876925331637612";4636672;4636672;0
73;"763793637415750013814527542160097177179164621544903500805168944028751839085130559305673268";"507251574340864087733890797890227632838435013796164750567137587703593439524730804884764090";"324339301377390180211776379620514703461999174143962563410046287087525323727187674314204314";4636672;4636672;0
74;"88002997301786573953434206088914885419253341325495549154651695617471550140730194691610095";"662715529928757532865625567917058057042604570563755675947948284323956615550959862749945212";"34617345079073107003184508587561909725297034082854626382736585525224387191231981905877788";4636672;4636672;0
75;"876792251623910558919436312951746716983315081545875094759938623124984585792964233090707372";"815679524246934595805001947627668379979308976502749192653568837267973152866317602717051625";"1345990838065774281283501952021280926019439626405998800448631137008580417826238500518854";4636672;4640768;4096
76;"371698623199233032082281398408495345221651119272422440925796756639177815488119427317484029";"509200059445356238287686800822915962306582075811918544824484217511352518140861861322802950";"276455414282810740777694882808315693834904711222095721404326373767752759308885704144543438";4640768;4640768;0
77;"598287198379019780383957485496961294434503217699045753705693760647397033723780791196692314";"14146128511819593977615140442569964380392069706498012133592081695115621521225418743651259";"105794123400264270385705122786040809444416283237773001172081590618615743468903271865076047";4640768;4640768;0
78;"487769118856012886597141665210390605107643247798726319274929799811058336380044764925472135";"266485116007244085194798048091572958660160965031673981213476707348075377430480430392051968";"245724811008264909171304014294024088768451453388070799675533768437313889760229396180270929";4640768;4640768;0
79;"16319612128792800644227994721646039494725134010393000942505229719328817507497910245668028";"621456524882663507312437720905218553332432378289463843047253469982102194275050346194485578";"445006418588078034549292804424869166450559447147459996834045391714603030551079514222062247";4640768;4640768;0
80;"741652024796276599359302021421884728913427243347894054242991702298739031896417391652862774";"758069535322653774101879383686201796031709966688788302715298486345045168880396501950463123";"117266178782553254371474172406109034736826677424746533382118245759280826286576944778864175";4640768;4640768;0
81;"326396529610475657548774778594753042905739642191815856031738032038188285967363065098467992";"802834637301792142209670641787195829859539244736767234693917739894619379312995612811934358";"929862196712004832124477579182782629270732420235542042559645118216544947895239985747142490";4640768;4640768;0
82;"733171145061524561130676884192962560221140602318347584318448530006387519797031555025639131";"670112214171875036100868440682416375070020877432656763769932037826024478820525834563168226";"74244404318345108984547835395149161048842558787893584079707492205034824753885760623439614";4640768;4640768;0
83;"941336155150039211078391048435705868498585020689490164855645616951077755286939726858343367";"612914027469344416296056277244746547517752750354092435035767106471731454764984945442317463";"962004569469913977170116918275327314399579449015426797936186305988126350447640778947034381";4640768;4640768;0
84;"735570801711974481264058530824442758290067502003740129605937208932051300691074044094021587";"753421253252299822475732919690846549891321447853424604462533856191012018130486177706059327";"150897175233741085153140632894591697216107082170527377477709287941307206436139109339096511";4640768;4640768;0
85;"356779502829548337905613154622293225632141494513391979240767076495951263037254017417661266";"952794518355628847223494048419511158683867033472674057145348980430045144791684759607505018";"866683153056690582295142497079537289064795312854499378043993768267890968617155509891600394";4640768;4640768;0
86;"565535979086171076736220489420538244342509836581838032301857488850637730562795664101570774";"785206918144592516311829615422641343921454030872180653667906888759267356456352267984465104";"111259025331659141778556243098007035398856398484465905471378425331652939931511185678263959";4640768;4640768;0
87;"941059026243825450635942945870937332153603394095290886647874805820414053320334864282806715";"21496419710348590945706912618676667959555013294172779165292104545608668156398564423818447";"562631461490868810174972936403233290196698711455874277028750158647500656326840922351393998";4640768;4640768;0
88;"377676251522487726896726967725374773557734369795423527281343706198350670795213127651896712";"295395190450161413451109518066950224325977598078466567465701801517167204460394085193276874";"246705861031735217374023385125159054789583410638747106935933196943259678049968849697763843";4640768;4640768;0
89;"989679588138324329861928991233842918882155139648280773076185561125648190271474513041285701";"819381809697522170323329248273374617284218392681792771069325945037840687149882708409863865";"175374310757768721328386907312105674443682160871800254372274241702090036371708859426770452";4640768;4640768;0
90;"692694568458661428460237270418532405310060606089367383627276567748981472536143931819306272";"842266966977687779126354194127828322757280273095294200783072264690201752033596449205167965";"546066404139407210628705027463381503163738855922001947731302970914280057858351628033750424";4653056;4653056;0
91;"904937539193423360485313665914515954379868185425433858101983398611470239115175026345327135";"576886838999541077660840050790172632645228108654719032275160479380335039277725152694257038";"409183741032840031408342131187237264469627699726745525342559575981942746069891366942344270";4653056;4653056;0
92;"168701947384047422654690061115643938094480749745396086026002844126163016826729153703625576";"122173973880036410740736969479786030260091884302612380216220942836163973511737299177162865";"462668023685489085565790518774041142168685839273625714065235543778206171290923268000665210";4653056;4653056;0
93;"233539965377758398597101678819596919605272928953492569476051988791521374393383360994186366";"524683221972670985912214544144774649333980502004848905122229117307439374198666032705495480";"192778844421775181865658477351873005813433075349980018010423122964676288111091686740210137";4653056;4653056;0
94;"262102622421121288103804750381084569498910476178149770926075397049211647962691575355393724";"272533213699686861755348132180277330541938394353307124795643404478521137062540765100573128";"632484354447580929766140442168351570078961530076368031266903773719351075029469211909094451";4653056;4653056;0
95;"25681241851847894347870118914711822735168769154136910366680407380755336111026635405377410";"173263420366429160936283410188175846456116589093647908090681091003045810397252667036346203";"608857907481494312237252292484185433240448639827168393526808294404151210514610571812180120";4653056;4653056;0
96;"842925210532950634782190535703148995232509026008818771825813136326756943682243407658830479";"913375795605276875872367301752261824991312864674885127851964400256651054429938956783107533";"244839307672550777625020991219402295486665102554607838112715729693220322769936369574310014";4653056;4653056;0
97;"22432262826210427209946166033077541382426577776249305671267340463507215477540097035575882";"910856818789621033109136013887302138345876408297504215759309014807376672307523781597458072";"919903757965948427735636364608034346687253762817825372066235216239510731437120152646369877";4653056;4653056;0
98;"894816147755452500895866238931512658409337769228210612081428895903229694781894611966058819";"900924196456480104425126393323440334497718104077021070784861567784223714662506901274161611";"713009892515532771945926942939202172175148366229225054707020332052780537346667706595389965";4653056;4653056;0
99;"759070333223585049126424044507097611643952186030880942634492810173382256927166928035506650";"748416414599502902012623578430617913356014756428201988135457869119411625910434785855929058";"534983164731614302636526229028240694449056709987140762164150170847457630541096876666841940";4653056;4653056;0
